id,name,category,flavors,molecules_count,sample_molecules
200,Pawpaw,Fruit,"acetic, aldehydic, apple, apple peel, apricot, balsam, balsamic, banana, berry, bitter, brandy, butter, buttery, cheese, citrus, clean, clover, cocoa, coconut, cognac, coumarin, creamy, dried berry, earthy, ester, ether, fat, fatty, floral, fresh, fruit, fruity, gasoline, grape, grapefruit, green, hawthorne, herb, herbal, honey, hyacinth, juicy, leaf, mushroom, must, oil, orange, orris, peanut, pear, petal, pineapple, plastic, pungent, rum, smoky, soapy, sweet, tobacco, tropical, vegetable, wax, waxy, wine",25,"Ethyl 2-octenoate, 1-Dodecanol, Styrene, Methyl butyrate, Ethyl Butyrate, Ethyl Octanoate, Geranyl caproate, gamma-Caprolactone, Methyl Hexanoate, Tetradecanoic acid"
201,Peach,Fruit,"acetone, acetophenone, acid, acidic, acrylic, alcohol, alcoholic, aldehydic, almond, ammoniacal, angelica, animal, anise, apple, apple skin, apricot, balsam, balsamic, banana, banana peel, beany, beef, bergamot, berry, bitter, bitter almond, bland, boiled shrimp, boiled vegetable, brown, burnt, burnt sugar, butter, butterscotch, buttery, cabbage, camomile, camphor, camphoraceous, cananga, candy, caramel, carnation, celery, cheese, cheesy, chemical, cherry, chocolate, cinnamic, cinnamon, citral, citrus, civet, clean, clove, clover, cocoa, coconut, coffee, cognac, cooked potato, cool, coriander, coumarin, cranberry, cream, creamy, cucumber, dairy, decomposing cabbage, deep, dry, dusty, earthy, ether, ethereal, faint, fat, fatty, fecal, feet, fermented, fish, fishy, floral, flower, fresh, fruit, fruity, fusel, garlic, gasoline, geranium, grape, grapefruit, grass, grassy, green, green bean, harsh, hawthorn, hawthorne, hay, hazelnut, herb, herbaceous, herbal, honey, honeysuckle, horseradish, hyacinth, intensely, iris, jam, jasmin, jasmine, juicy, ketonic, lactonic, lavender, leaf, leafy, lemon, lemon peel, lemongrass, lettuce, lilac, lily, lime, linden, magnolia, malt, maple, meaty, medical, medicinal, medicine, melon, menthol, mentholic, metal, metallic, mild, mimosa, mint, minty, moss, moth ball, mothball, muguet, mushroom, musk, must, mustard, musty, naphthelene, naphthyl, natural, new mown hay, nut, nutty, odorless, oil, oily, onion, orange, orange peel, oriental, orris, overripe fruit, ozone, paint, paper, peach, peanut, pear, peely, peony, pepper, peppermint, peppery, petal, phenol, phenolic, pine, pineapple, plastic, plum, potato, powdery, powerful, privet, prune, pungent, putrid, rancid, raspberry, red hots, resin, resinous, roast, roasted, roquefort cheese, rose, rose dried, rose flower, rose water, rubber, rum, sappy, seaweed, sharp, shrimp, sickening, smoke, soap, soapy, solvent, soup, sour, spice, spicy, stinky, storax, strawberry, strong, sulfur, sulfurous, sweat, sweaty, sweet, tallow, terpene, thyme, tobacco, tomato, tonka, tropical, turpentine, unripe banana, unripe fruit, unripe plum, vanilla, vegetable, very mild, violet, walnut, warm, waxy, weedy, wet, whiskey, wine, wine-lee, wine_like, winey, wintergreen, wood, woody",199,"cis-3-Hexenyl hexanoate, coumarin, Daidzin, 2-Methylbutyl Acetate, Delta-Decalactone, Styrene, 2-Methylbutyraldehyde, 3-methylthiopropanol, Methyl Benzoate, Citral"
202,Pear,Fruit,"acetone, acidic, alcohol, alcoholic, aldehydic, almond, ammoniacal, angelica, animal, anise, apple, apricot, balsam, balsamic, banana, beef, bergamot, berry, bitter, bland, brandy, bready, brown, burnt, burnt sugar, butter, butterscotch, camphor, camphoraceous, cananga, candy, caramel, carnation, celery, cheese, cheesy, chemical, cherry, chocolate, cinnamic, cinnamon, citral, citrus, civet, clove, clover, cocoa, coconut, coffee, cognac, cooked potato, cool, creamy, decomposing cabbage, deep, dry, earthy, ether, ethereal, faint, fat, fatty, fecal, fish, fishy, floral, flower, formyl, fresh, fruit, fruity, fusel, garlic, gasoline, geranium, grape, grapefruit, grass, grassy, green, hawthorne, hazelnut, herb, herbaceous, herbal, honey, honeysuckle, hyacinth, intensely, jasmine, juicy, lavender, leaf, leafy, lemon, lemon peel, lemongrass, lettuce, lilac, lily, lime, linden, magnolia, malt, malty, meaty, medical, medicinal, medicine, melon, menthol, mentholic, metal, metallic, mild, mint, minty, moss, moth ball, mothball, muguet, mushroom, musk, must, mustard, musty, myrrh, naphthelene, naphthyl, neroli, new mown hay, nutty, odorless, oil, oily, onion, orange, orange peel, orris, overripe fruit, ozone, paint, peach, peanut, pear, peely, peony, pepper, peppermint, peppery, petal, phenolic, pineapple, plum, potato, powdery, powerful, prune, pungent, rancid, raspberry, red hots, resin, ripe, roasted, rose, rose dried, rose flower, rose water, rubber, rum, sharp, shrimp, slightly waxy, soap, soapy, solvent, soup, sour, spice, spicy, storax, strawberry, strong, sulfur, sulfurous, sweat, sweaty, sweet, tallow, thyme, tobacco, tomato, tonka, tropical, tutti frutti, unripe banana, vanilla, vegetable, very mild, vinegar, violet, walnut, warm, waxy, weedy, whiskey, wine, wine-lee, wine_like, wintergreen, wood, woody",149,"coumarin, Methyl Benzoate, 1-Methylnaphthalene, 3-Hexanone, Geraniol, alpha-Maltose, 2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone, 4-Heptanone, Phlorizin, (-)-Epigallocatechin"
203,Bartlett Pear,Fruit,"alcohol, alcoholic, aldehydic, almond, apple, apricot, balsamic, banana, bergamot, bitter, brandy, bready, burnt, camphor, caramel, celery, cheese, cheesy, chemical, chocolate, cinnamon, citrus, cocoa, coconut, cognac, creamy, earthy, ether, ethereal, fat, fatty, fishy, floral, flower, formyl, fresh, fruit, fruity, fusel, grape, grapefruit, grass, grassy, green, hazelnut, herb, herbaceous, herbal, juicy, lavender, leafy, lemongrass, lime, malt, malty, meaty, medicinal, melon, metal, mushroom, must, musty, myrrh, naphthyl, neroli, nutty, odorless, oil, oily, orange, orange peel, orris, overripe fruit, peanut, pear, pear skin, peely, peony, pepper, pineapple, plum, potato, powerful, pungent, rancid, raspberry, resin, ripe, rose, rubber, rum, sharp, slightly waxy, soap, soapy, solvent, spicy, strawberry, sweaty, sweet, tallow, tropical, tutti frutti, vegetable, vinegar, violet, waxy, whiskey, wine, wine_like, wood, woody",50,"Ethyl 2-octenoate, Ethyl Decanoate, 6-Methyl-5-Hepten-2-One, Octyl acetate, 2-Methylbutyl Acetate, 2-Pentyl Acetate, 2-Heptanone, 2-Methyl-1-propanol, formic acid, Isopropyl Acetate"
204,Prickly Pear,Fruit,"acetone, acidic, acrylic, alcohol, alcoholic, aldehydic, almond, ammoniacal, angelica, animal, anise, apple, balsam, balsamic, banana, beef, berry, bitter, bland, broccoli, brown, burnt, burnt sugar, butter, butterscotch, buttery, camphor, camphoraceous, cananga, candy, caramel, carnation, celery, cheese, cheesy, chemical, cherry, chocolate, cinnamic, cinnamon, citral, citrus, civet, clean, clove, clover, cocoa, coconut, coffee, cognac, cooked, cooked potato, cool, coumarin, creamy, cucumber, cut grass, dairy, decomposing cabbage, deep, dill, dry, dusty, earthy, ether, ethereal, faint, fat, fatty, fecal, fermented, fish, fishy, floral, flower, foliage, fresh, fruit, fruity, fusel, garlic, gasoline, geranium, grape, grapefruit, grass, grassy, green, hawthorne, hazelnut, herb, herbal, honey, honeysuckle, hyacinth, intensely, jam, jasmine, lavender, leaf, leafy, lemon, lemon peel, lemongrass, lettuce, lilac, lily, linden, magnolia, malt, medical, medicinal, medicine, melon, menthol, mentholic, metallic, mild, mint, minty, moss, moth ball, mothball, muguet, mushroom, musk, must, mustard, musty, naphthelene, new mown hay, nutty, odorless, oil, oily, onion, orange, orange peel, orris, ozone, paint, peach, peanut, pear, pepper, peppermint, peppery, petal, phenolic, pineapple, plastic, potato, powdery, prune, pungent, rancid, raspberry, red hots, resin, roasted, rose, rose dried, rose flower, rose water, rubber, rum, seaweed, sharp, shrimp, slightly fruity, slightly waxy, soap, solvent, soup, sour, spice, spicy, storax, strawberry, strong, sulfur, sulfurous, sweat, sweaty, sweet, tallow, terpene, thyme, tobacco, tomato, tonka, tropical, tutti frutti, unripe banana, vanilla, vegetable, very mild, violet, walnut, warm, wax, waxy, weedy, wet, whiskey, wine, wine-lee, wintergreen, wood, woody",128,"coumarin, Methyl Benzoate, 3-Hexanone, Geraniol, alpha-Maltose, 2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone, Phlorizin, Propyl acetate, methanethiol, daidzein"
205,Pepino,Fruit,"bitter, cantaloupe, celery, citrus, clean, cucumber, dusty, earthy, fat, fatty, floral, fresh, fruit, fruity, fusel, gardenia, green, herbal, honeydew, melon, minty, moss, mushroom, nut, oily, orange, pear, raspberry, rose, soapy, solvent, spicy, sweet, tropical, waxy, wet, woody",7,"1-Nonanol, 3-Octanol, Propyl acetate, Nonyl Acetate, cis-6-Nonenal, 3-Methyl-3-butenyl acetate, cis-6-Nonen-1-ol"
206,Pineapple,Fruit,"acetone, acid, acidic, acrylate, alcohol, alcoholic, aldehydic, almond, ammoniacal, angelica, animal, anise, apple, apple peel, apple skin, apricot, arrack, baked, balsam, balsamic, banana, beef, berry, bitter, blackcurrant, bland, blueberry, bois de rose, brandy, bread, brown, burnt, burnt sugar, butter, butterscotch, buttery, cabbage, camomile, camphor, camphoraceous, cananga, candy, caramel, carnation, celery, cheese, cheesy, chemical, cherry, chicken, chocolate, cinnamic, cinnamon, citral, citrus, civet, clean, clove, clover, cocoa, coconut, coffee, cognac, cooked, cooked potato, cool, cooling, cotton, coumarin, cranberry, creamy, dairy, decomposing cabbage, deep, dry, dusty, earthy, ester, estery, ether, ethereal, faint, fat, fatty, fecal, feet, fermented, fish, fishy, floral, flower, fragrant, fresh, fruit, fruity, fungal, fusel, garlic, gasoline, geranium, grape, grapefruit, grass, grassy, green, harsh, hawthorne, hazelnut, herb, herbaceous, herbal, honey, honeysuckle, hyacinth, intensely, jasmine, juicy, lavender, leaf, leafy, lemon, lemon peel, lemongrass, lettuce, licorice, lilac, lily, lime, linden, magnolia, malt, maple, marshmallow, meaty, medical, medicinal, medicine, melon, menthol, mentholic, metallic, mild, mildew, mint, minty, moldy, moss, mossy, moth ball, mothball, muguet, mushroom, musk, must, mustard, musty, naphthelene, natural, new mown hay, nut, nutty, odorless, oil, oily, onion, orange, orange peel, orris, overripe fruit, ozone, paint, peach, peanut, pear, peely, peony, pepper, peppermint, peppery, petal, phenol, phenolic, pine, pineapple, plastic, plum, potato, powdery, prune, pulpy, pungent, putrid, rancid, raspberry, raw, red hots, resin, ripe, roasted, roasted nut, roquefort cheese, rose, rose dried, rose flower, rose water, rubber, rum, rummy, sharp, shrimp, sickening, slightly fruity, smoky, soap, soapy, solvent, soup, sour, soy, spice, spicy, stinky, storax, strawberry, strong, sugar, sulfur, sulfurous, sulfury, sweat, sweaty, sweet, tallow, tart, terpene, thyme, tobacco, tomato, tonka, tropical, tutti frutti, unripe banana, vanilla, vegetable, very mild, vinegar, vinous, violet, walnut, warm, wax, waxy, weedy, wet, whiskey, wine, wine-lee, wine_like, wintergreen, wood, woody, yeast",220,"coumarin, Daidzin, Isopentyl hexanoate, 2-Methylbutyl Acetate, Styrene, 2-Methylbutyraldehyde, 3-methylthiopropanol, Methyl Benzoate, Citral, Ethyl Octanoate"
207,Plum,Fruit,"acacia, acetone, acid, acidic, alcohol, alcoholic, aldehydic, almond, ammoniacal, angelica, animal, anise, aniseed, anisic, apple, apple peel, apple skin, apricot, baked, balsam, balsamic, banana, banana peel, beany, beef, berry, bitter, bland, bread, brown, burnt, burnt sugar, butter, butterscotch, buttery, camomile, camphor, camphoraceous, cananga, candy, caramel, caramellic, carnation, cedarwood, celery, chamomile, cheese, cheesy, chemical, cherry, chicken, chocolate, cinnamic, cinnamon, citral, citrus, civet, clean, clove, clover, cocoa, coconut, coffee, cognac, cooked potato, cool, cooling, coumarin, cranberry, creamy, cultured dairy, cut grass, dairy, decomposing cabbage, deep, dirty, dry, dusty, earthy, ester, estery, ether, ethereal, faint, fat, fatty, fecal, feet, fermented, fish, fishy, floral, flower, fragrant, fresh, fruit, fruity, fungal, fusel, garlic, gasoline, geranium, grape, grapefruit, grass, grassy, green, green bean, harsh, hawthorn, hawthorne, hay, hazelnut, herb, herbal, honey, honeysuckle, hop_oil, hyacinth, intensely, jam, jammy, jasmin, jasmine, juicy, lactonic, laundered cloths, lavender, leaf, leafy, leather, lemon, lemon peel, lemongrass, lettuce, lilac, lily, lime, linden, magnolia, malt, mango, medical, medicinal, medicine, melon, menthol, mentholic, metal, metallic, mild, mint, minty, moss, moth ball, mothball, muguet, mushroom, musk, must, mustard, musty, naphthelene, natural, neroli, new mown hay, nutty, odorless, oil, oily, onion, orange, orange peel, orchid, orris, overripe fruit, ozone, paint, papaya, peach, peanut, pear, peely, pepper, peppermint, peppery, petal, phenolic, pine, pineapple, plastic, plum, potato, powdery, privet, prune, pungent, rancid, raspberry, raw, red hots, resin, resinous, ripe, roasted, roquefort cheese, rose, rose dried, rose flower, rose water, rotting, rubber, rum, seaweed, sharp, shrimp, slightly waxy, smoky, soap, soapy, solvent, soup, sour, spice, spicy, stinky, storax, strawberry, strong, sulfur, sulfurous, sweat, sweaty, sweet, tallow, tarragon, tart, tea, terpene, thyme, tobacco, tomato, tonka, tropica, tropical, turpentine, unripe banana, unripe plum, urine, vanilla, vegetable, very mild, violet, walnut, warm, waxy, weak, weedy, wet, whiskey, wine, wine-lee, winey, wintergreen, wood, woody",189,"1-Popc, Isoamyl butyrate, cis-3-Hexenyl hexanoate, Hexyl Hexanoate, Isopentyl hexanoate, coumarin, 2-Methylbutyl Acetate, Daidzin, 2-Methylbutyraldehyde, Thymol"
208,Plumcot,Fruit,"aldehydic, apple, apple peel, apple skin, apricot, banana, banana peel, bitter, blackcurrant, buttery, camphor, camphoraceous, cedarwood, chamomile, citrus, clean, coconut, cognac, cooling, creamy, dairy, damascone, dry, earthy, ether, ethereal, fat, fatty, fishy, floral, fresh, fruit, fruity, grape, grapefruit, grassy, green, hazelnut, herbal, ketonic, lactonic, leather, lemongrass, lime, metallic, mint, minty, mushroom, musty, natural, nutty, oily, orange, orange peel, orris, peach, pear, peely, pepper, peppermint, pineapple, plum, powerful, privet, prune, rose, rose oxide, rubber, rum, saffron, sharp, soapy, solvent, spice, sweet, tea, tobacco, tropical, vegetable, vinous, waxy, wine, winey, wintergreen, woody",24,"cis-3-Hexenyl hexanoate, 6-Methyl-5-Hepten-2-One, 4-Methyl-2-pentanone, Isophorone, 3-Hexanone, (E)-2-Hexenyl hexanoate, Heptyl butyrate, Nonanal, Ethyl 3-methylpentanoate, Hexyl Butyrate"
209,Pumpkin,Fruit,"acetone, acidic, alcohol, alcoholic, aldehydic, almond, amine, ammoniacal, angelica, animal, anise, apple, balsam, balsamic, banana, beef, bell, berry, bitter, bland, brown, burnt, burnt sugar, butter, butterscotch, cabbage, camphor, camphoraceous, cananga, candy, caramel, carnation, carrot, cheese, cheesy, cherry, chicken, chocolate, cinnamic, cinnamon, citral, citrus, civet, clove, clover, cocoa, coffee, cooked, cooked potato, cool, cream, creamy, cut grass, decomposing cabbage, deep, dry, earth, earthy, ether, ethereal, faint, fat, fatty, fecal, fish, fishy, floral, flower, foliage, fresh, fruit, fruity, fungal, fusel, galbanum, garlic, gasoline, geranium, grape, grapefruit, grass, grassy, green, hawthorne, hazelnut, herb, herbal, honey, honeysuckle, hyacinth, intensely, jasmine, lavender, leaf, leafy, lemon, lemon peel, lemongrass, lettuce, lilac, lily, linden, magnolia, malt, meaty, medical, medicine, melon, menthol, mentholic, metallic, mild, mint, minty, moss, moth ball, mothball, muguet, mushroom, musk, mustard, musty, naphthelene, new mown hay, nutty, odorless, oil, oily, onion, orange, orange peel, ozone, paint, pea, peach, peanut, pear, pepper, peppermint, peppery, petal, phenolic, pineapple, potato, powdery, prune, pungent, putrid, rancid, raspberry, raw, red hots, roasted, rose, rose dried, rose flower, rose water, rubber, rum, savory, sharp, shrimp, sickening, soap, solvent, soup, sour, spice, spicy, storax, strawberry, strong, sulfur, sulfurous, sweat, sweaty, sweet, tallow, thyme, tobacco, tomato, tonka, tropical, unripe banana, vanilla, vegetable, very mild, violet, walnut, warm, waxy, weedy, whiskey, wine, wine-lee, wintergreen, wood, woody",106,"coumarin, Daidzin, 2-Methylbutyraldehyde, 3-methylthiopropanol, Methyl Benzoate, Citral, 3-Hexanone, Geraniol, alpha-Maltose, 2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone"
210,Quince,Fruit,"acetone, acidic, alcohol, alcoholic, aldehydic, almond, amber, ammoniacal, angelica, animal, anise, anisic, apple, apple peel, apple skin, apricot, balsam, balsamic, banana, beef, bergamot, berry, bitter, blackcurrant, bland, brown, burnt, burnt sugar, butter, butterscotch, buttery, camphor, camphoraceous, cananga, candy, caramel, caramellic, carnation, celery, cheese, cheesy, chemical, cherry, chocolate, cinnamic, cinnamon, citral, citrus, civet, clove, clover, cocoa, coconut, coffee, cooked potato, cool, coumarin, creamy, curry, cut grass, decomposing cabbage, deep, dry, earthy, ether, ethereal, faint, fat, fatty, fecal, fermented, fish, fishy, floral, flower, fresh, fruit, fruity, fusel, garlic, gasoline, geranium, grape, grape skin, grapefruit, grass, grassy, green, hawthorne, hazelnut, herb, herbal, honey, honeysuckle, hot milk, hyacinth, intensely, jam, jammy, jasmin, jasmine, juicy, lavender, leaf, leafy, lemon, lemon peel, lemongrass, lettuce, lilac, lily, lime, linden, magnolia, malt, mango, maple, marshmallow, medical, medicine, melon, menthol, mentholic, metal, metallic, mild, mint, minty, moss, moth ball, mothball, muguet, mushroom, musk, mustard, musty, myrrh, naphthelene, natural, neroli, new mown hay, nutty, odorless, oil, oily, onion, orange, orange peel, orris, ozone, paint, peach, peanut, pear, pepper, peppermint, peppery, petal, phenolic, pineapple, plum, potato, powdery, prune, pungent, rancid, raspberry, red hots, ripe, roasted, rose, rose dried, rose flower, rose water, rubber, rum, rummy, seaweed, sharp, shrimp, smoky, soap, soapy, solvent, soup, sour, spice, spicy, storax, strawberry, strong, sulfur, sulfurous, sweat, sweaty, sweet, tallow, tea, thyme, tobacco, tomato, tonka, tropical, tutti frutti, unripe banana, vanilla, vegetable, very mild, vinous, violet, walnut, warm, waxy, weedy, wet, whiskey, wine, wine-lee, winey, wintergreen, wood, woody",147,"coumarin, Methyl Benzoate, 3-Hexanone, Isoamyl Isovalerate, Geraniol, alpha-Maltose, 2-Ethyl-4-hydroxy-5-methyl-3(2H)-furanone, Phlorizin, Isopentyl formate, (-)-Epigallocatechin"
211,Chinese Quince,Fruit,"acetoin, acid, acidic, alcohol, alcoholic, aldehydic, almond, animal, anisic, apple, apple peel, banana, berry, bitter, burnt, butter, buttery, caramel, carnation, cheese, cheesy, chemical, cinnamon, citrus, civet, clove, clover, cocoa, coconut, coffee, cooling, cream, curry, cut grass, cut privet, dairy, earthy, ester, estery, ether, ethereal, fat, fatty, feet, fermented, fishy, floral, flower, fresh, fruit, fruity, fusel, grape, grape skin, grapefruit, grassy, green, hawthorne, heavy, herb, herbal, honey, honeysuckle, hyacinth, leaf, lilac, lime, meaty, medical, metal, mild, mushroom, musty, nut, nutty, odorless, oil, oily, orange, orange peel, orris, peach, peanut, pear, peely, phenol, phenolic, pineapple, plastic, plum, pungent, pyridine, rancid, raspberry, ripe, roquefort cheese, rose, rose dried, rose flower, rose water, rubber, rum, sharp, smoky, soapy, solvent, sour, soy, spice, spicy, stinky, strawberry, sweat, sweaty, sweet, tart, tropical, vegetable, vinegar, violet, waxy, weedy, whiskey, wine, wintergreen, wood, woody",45,"Hexyl Hexanoate, stearic acid, 4-Methyl-2-pentanone, Isobutyl hexanoate, 2-Methylbutyraldehyde, Isobutyl isobutyrate, 1-propanol, Acetal, Hexyl isobutyrate, 2-Phenylethanol"
212,Raisin,Fruit,"alcoholic, aldehydic, almond, banana, bay oil, beer, berry, bitter, brandy, bread, bready, burnt, burnt sugar, buttery, caramel, cheese, cheesy, chicken, clover, cocoa, coconut, coumarin, creamy, cultured dairy, dirty, earthy, ethereal, fat, fatty, fermented, fishy, floral, flower, fresh, fruity, fungal, fusel, gasoline, grapefruit, grass, green, hawthorne, hay, herbal, honey, hot milk, hyacinth, leafy, lilac, malt, maple, metal, mild, milky, mint, mushroom, musty, natural, nutty, oil, oily, peach, peanut, peppermint, pungent, rancid, raw, resin, rose, rose dried, rose flower, rose water, rum, soap, soapy, solvent, sour, spice, strong, sweat, sweaty, sweet, tallow, tobacco, vegetable, waxy, weedy, whiskey, wine, wintergreen, woody",23,"Isoamyl laurate, Pentanal, 2-Methyltetrahydrofuran-3-One, 1-Octen-3-Ol, 2-Phenylethanol, Hexanal, gamma-Caprolactone, 2-Nonanone, phenylacetaldehyde, 2-Acetyl-5-Methylfuran"
213,Roseapple,Fruit,"acetone, acidic, alcohol, alcoholic, aldehydic, almond, ammoniacal, angelica, animal, anise, anisic, apple, balsam, balsamic, banana, beef, berry, bitter, bland, brown, burnt, burnt sugar, butter, butterscotch, camphor, camphoraceous, cananga, candy, caramel, carnation, cheese, chemical, cherry, chocolate, cinnamic, cinnamon, citral, citrus, civet, clean, clove, clover, cocoa, coffee, cooked potato, cool, creamy, decomposing cabbage, deep, dry, dusty, earthy, ether, ethereal, faint, fat, fatty, fecal, fish, fishy, floral, flower, fresh, fruit, fruity, fusel, garlic, gasoline, geranium, grape, grapefruit, grass, grassy, green, hawthorne, hazelnut, herb, herbal, honey, honeysuckle, hyacinth, intensely, jasmine, lavender, leaf, leafy, lemon, lemon peel, lemongrass, lettuce, lilac, lily, linden, magnolia, malt, medical, medicine, melon, menthol, mentholic, metal, metallic, mild, mint, minty, moss, moth ball, mothball, mouldy, muguet, mushroom, musk, mustard, musty, naphthelene, natural, neroli, new mown hay, nutty, odorless, oil, oily, onion, orange, orange peel, ozone, paint, peach, peanut, pear, pepper, peppermint, peppery, petal, phenolic, pineapple, plastic, potato, powdery, prune, pungent, rancid, raspberry, red hots, roasted, rose, rose dried, rose flower, rose water, rubber, rum, sharp, shrimp, soap, solvent, soup, sour, spice, spicy, storax, strawberry, strong, sulfur, sulfurous, sweaty, sweet, tallow, tea, thyme, tobacco, tomato, tonka, tropical, unripe banana, vanilla, vegetable, very mild, walnut, warm, waxy, weedy, wet, whiskey, wine, wine-lee, wintergreen, wood, woody",105,"coumarin, Daidzin, Styrene, 2-Methylbutyraldehyde, 3-methylthiopropanol, Methyl Benzoate, Citral, d-Piperitone, 3-Hexanone, Geraniol"
214,Sapodilla,Fruit,"acetone, acidic, alcohol, alcoholic, aldehydic, almond, ammoniacal, angelica, animal, anise, apple, balsam, balsamic, banana, beef, berry, bitter, bland, brown, burnt, burnt sugar, butter, butterscotch, cabbage, camphor, camphoraceous, cananga, candy, caramel, carnation, cheese, cheesy, cherry, chocolate, cinnamic, cinnamon, cinnamyl, citral, citrus, civet, clean, clove, clover, cocoa, coffee, cooked potato, cool, creamy, decomposing cabbage, deep, dry, earthy, ether, ethereal, faint, fat, fatty, fecal, fish, fishy, floral, flower, fresh, fruit, fruity, fusel, garlic, gasoline, geranium, grape, grapefruit, grass, grassy, green, hawthorn, hawthorne, hazelnut, herb, herbaceous, herbal, honey, honeysuckle, hyacinth, intensely, jasmine, lavender, leaf, leafy, lemon, lemon peel, lemongrass, lettuce, lilac, lily, linden, magnolia, malt, meaty, medical, medicine, melon, menthol, mentholic, metallic, mignonette, mild, mint, minty, moss, moth ball, mothball, muguet, mushroom, musk, mustard, musty, naphthelene, new mown hay, nutty, odorless, oil, oily, onion, orange, orange peel, ozone, paint, peach, peanut, pear, pepper, peppermint, peppery, petal, phenolic, pineapple, plastic, potato, powdery, prune, pungent, putrid, rancid, raspberry, red hots, roasted, rose, rose dried, rose flower, rose water, rubber, rum, sappy, sharp, shrimp, soap, solvent, soup, sour, spice, spicy, storax, strawberry, strong, sulfur, sulfurous, sweat, sweaty, sweet, tallow, thyme, tobacco, tomato, tonka, tropical, unripe banana, vanilla, vegetable, very mild, walnut, warm, waxy, weedy, whiskey, wine, wine-lee, wine_like, wintergreen, wood, woody",106,"coumarin, Daidzin, Styrene, 2-Methylbutyraldehyde, 3-methylthiopropanol, Methyl Benzoate, Citral, 3-Hexanone, Hexyl benzoate, Geraniol"
215,Soursop,Fruit,"acetone, acidic, alcohol, alcoholic, aldehydic, almond, amine, ammoniacal, angelica, animal, anise, apple, apricot, balsam, balsamic, banana, beef, berry, bitter, bland, brown, burnt, burnt sugar, butter, butterscotch, camphor, camphoraceous, cananga, candy, caramel, carnation, cheese, cherry, chocolate, cinnamic, cinnamon, citral, citrus, civet, clove, clover, cocoa, coconut, coffee, cooked potato, cool, coumarin, cream, creamy, decomposing cabbage, deep, dry, earthy, estery, ether, ethereal, faint, fat, fatty, fecal, fish, fishy, floral, flower, fresh, fruit, fruity, fungal, fusel, garlic, gasoline, geranium, grape, grapefruit, grass, grassy, green, hawthorne, hazelnut, herb, herbal, honey, honeysuckle, hyacinth, intensely, jasmine, juicy, lavender, leaf, leafy, lemon, lemon peel, lemongrass, lettuce, licorice, lilac, lily, linden, magnolia, malt, medical, medicine, melon, menthol, mentholic, metallic, mild, mint, minty, moss, moth ball, mothball, muguet, mushroom, musk, must, mustard, musty, naphthelene, new mown hay, nutty, odorless, oil, oily, onion, orange, orange peel, ozone, paint, peach, peanut, pear, pear skin, pepper, peppermint, peppery, petal, phenolic, pineapple, plastic, potato, powdery, prune, pungent, putrid, rancid, raspberry, red hots, ripe, roasted, root, rose, rose dried, rose flower, rose water, rubber, rum, sharp, shrimp, sickening, slightly fruity, soap, solvent, soup, sour, spice, spicy, storax, strawberry, strong, sulfur, sulfurous, sweaty, sweet, tallow, thyme, tobacco, tomato, tonka, tropical, unripe banana, vanilla, vegetable, very mild, walnut, warm, waxy, weedy, whiskey, wine, wine-lee, wintergreen, wood, woody",118,"coumarin, Daidzin, Styrene, 2-Methylbutyraldehyde, 3-methylthiopropanol, Methyl Benzoate, Citral, 3-Hexanone, Geraniol, alpha-Maltose"
216,Spineless Monkey Orange,Fruit,"alcoholic, aldehydic, apple, apple peel, apricot, banana, bay oil, berry, bitter, buttery, coconut, creamy, cut grass, estery, ether, ethereal, fatty, floral, fresh, fruit, fruity, fusel, grape, green, herbal, juicy, melon, metal, metallic, mild, musty, orange, orris, peach, pear, pineapple, plum, pungent, rancid, ripe, rotting, rubber, rummy, sharp, solvent, spicy, strawberry, sweaty, sweet, tropical, tutti frutti, vegetable, waxy, wine",20,"Propyl butyrate, Methyl Nonanoate, Ethyl Isobutyrate, Propyl Hexanoate, Hexyl Hexanoate, Methyl Hexanoate, Isobutyl hexanoate, Isobutyl propionate, Isopropyl butyrate, lauric acid"
